fips,random_intercept
04001,1.2436824350349476
04003,2.421231129107652
04005,2.245587573151753
04007,0.12370800240787741
04009,0.8917618223916904
04011,-1.077324765628376
04012,-0.2603497051732148
04013,1.2317014640478465
04015,0.270892658162458
04017,0.37634223119806887
04019,1.278908628269404
04021,2.479605897332692
04023,2.2410352005356495
04025,2.3672751840231916
04027,0.8535950842091067
05001,-0.7976168825516519
05003,-0.41150201844372863
05005,2.1198738646077615
05007,-0.15017426288364444
05009,-0.45116347692802705
05011,-0.5469689448032357
05013,0.8274752422406376
05015,-0.027480924667471415
05017,-0.9613320922532124
05019,-0.818094922715614
05021,-0.4044101768465107
05023,0.6395865792940684
05025,-0.3655756965732541
05027,-0.5001853637796957
05029,-0.7042361716621213
05031,0.7239824547086899
05033,0.3091244970130412
05035,-1.4567879645632054
05037,-0.6693678809060948
05039,0.20079669772635644
05041,0.4333052495641308
05043,-0.5574883430016992
05045,-0.19711468714478156
05047,-0.37819511688702406
05049,-0.44571734229268944
05051,-0.08729237643048794
05053,-0.7134786255785974
05055,-0.566883249981511
05057,-0.7804067249205707
05059,-0.6446481144522879
05061,-0.4762125140638909
05063,-0.4000063540589354
05065,-0.314937918665912
05067,-0.612744134867554
05069,-1.5603037480992012
05071,2.583053158661803
05073,0.9411317965308502
05075,-0.5142659195077869
05077,-0.8124963407454909
05079,-0.4780680182164591
05081,-0.7836142781435856
05083,-0.4459497613955084
05085,-0.9794807151775536
05087,-0.7961717579558183
05089,0.9231507386382047
05091,1.1177037393438451
05093,-0.7919697644112773
05095,-0.7435008526917699
05097,-0.3454540215905199
05099,-0.37985971610244906
05101,-0.42927021726673403
05103,-0.7937891758858282
05105,-0.7590904816459056
05107,-0.9128803730014434
05109,-0.30064485153378756
05111,-0.6124662820447322
05113,-0.31640440830975336
05115,-0.6947352382682968
05117,-0.48089754709503474
05119,2.3107927245876625
05121,-0.32503229456132293
05123,0.5333350123473564
05125,-1.165420389905193
05127,-0.3169430686960691
05129,-0.23517218525085196
05131,-0.13094525770390894
05133,-0.5276682459511007
05135,0.9799318044685372
05137,1.104191909250143
05139,-0.6060530083608214
05141,-0.3692214651147766
05143,-0.2825003999557703
05145,1.3040867761326254
05147,-0.5252966143822869
05149,0.649215662626505
06001,0.8309360007584227
06003,-1.6118378256528278
06005,-0.5071491016230685
06007,0.2769777295104233
06009,1.6901351158015705
06011,-0.3401101378633101
06013,0.09364145443276528
06015,1.2575068835331398
06017,2.132683590576826
06019,2.0920760360811417
06021,-0.21427354767121118
06023,-0.2156199803224881
06025,2.2817715808909997
06027,1.4137473279137793
06029,2.99964244374946
06031,0.6386691220082515
06033,0.3884068473331639
06035,0.972234888301014
06037,0.7792079589307177
06039,1.6895136802823125
06041,1.2286192851577056
06043,2.1985665012979956
06045,0.1941585307595231
06047,0.32606882190768033
06049,1.9899984141289366
06051,-1.2701543272643856
06053,0.34744929917217543
06055,-0.14542902277547076
06057,-0.6771141934072723
06059,1.6872965596623661
06061,-0.1824709908752706
06063,0.9813831719892796
06065,2.316242345472342
06067,1.510062703971503
06069,-1.5706725777356036
06071,2.1756575529489064
06073,0.9762087776101307
06075,0.12778689358198486
06077,1.2913843847491964
06079,0.07130036751030798
06081,1.140427792662744
06083,1.7736351720115706
06085,1.357834341748521
06087,0.19495523290985
06089,1.1575868834019705
06091,0.4883911989082779
06093,1.9820721437822084
06095,-0.6925284510453558
06097,0.20239369983520103
06099,1.3292396376570461
06101,0.18873531157732773
06103,1.667078430620824
06105,1.156300299927423
