fips,pct_hispanic,pct_black,pct_asian,total_pop,median_hh_income,pct_poverty,pct_foreign_born,pop_density,rucc_code,urban_rural,rep_vote_share_2024,crime_rate_per_100k,in_border_zone
48093,2.8,0.0,1.6,13786,59946,14.1,0.5,14.701100504964216,9.0,rural,0.8745121845460064,602.0600609313797,0
48095,1.3,0.0,8.6,3301,59632,13.3,0.0,3.3555099325693294,8.0,rural,0.8764219234746639,363.52620418055136,0
48097,1.8,0.5,2.2,42473,72472,14.1,1.7,48.550205638498284,6.0,suburban,0.8359237578938262,221.3170720222259,0
48099,5.4,3.7,3.4,83772,68904,9.9,5.5,79.61248001808741,2.0,urban,0.7039185847441507,68.04182781836413,0
48101,5.6,0.0,4.4,1302,58819,22.8,0.7,1.4457614750350705,9.0,rural,0.8706467661691543,353.4704370179948,0
48103,0.8,0.0,0.3,4623,59915,8.2,0.4,5.888653471012205,8.0,rural,0.8744106300900129,1059.9178022928836,1
48105,0.1,0.0,0.0,2881,81739,3.3,4.2,1.0262443113999915,8.0,rural,0.7723250201126307,1041.3051023950018,1
48107,1.8,0.3,8.1,5072,52197,22.1,1.9,5.634312798347296,2.0,urban,0.7584345479082322,729.4952681388013,0
48109,2.8,0.0,6.0,2181,42672,17.7,2.8,0.5721171468608844,9.0,rural,0.571658615136876,0.0,1
48111,5.1,0.0,2.3,7180,72332,10.0,1.2,4.776691611316421,7.0,rural,0.8990323937736643,0.0,0
48113,2.0,0.6,7.5,2603816,74149,14.0,1.4,2981.9244399738773,1.0,urban,0.3838463548049136,8.02668084073529,0
48115,1.8,0.1,3.2,12311,55789,17.7,0.4,13.67424125048039,6.0,suburban,0.8153465346534653,276.17577775972705,0
48117,1.9,0.7,3.2,18487,54114,15.8,0.3,12.350835919157419,6.0,suburban,0.7716684723726978,297.50635581760156,0
48119,4.5,0.2,0.2,5345,62855,14.0,0.3,20.81124153719697,8.0,rural,0.8509882300688429,561.2722170252572,0
48121,2.1,1.1,4.3,945644,108185,7.0,1.7,1076.1875341805003,1.0,urban,0.5682305284612914,58.478666390311794,0
48123,2.1,0.3,4.5,19853,64014,15.9,0.4,21.841052056872254,6.0,suburban,0.8387590124535722,347.5545257643681,1
48125,2.0,0.0,8.0,1641,50417,14.5,0.2,1.8198471296344694,8.0,rural,0.8640538885486834,353.4704370179948,0
48127,1.9,0.0,7.4,8507,33409,44.8,0.5,6.401608193142764,7.0,rural,0.47474747474747475,2503.820383213824,1
48129,0.5,0.7,0.8,3276,56648,8.3,0.0,3.5338404177797518,8.0,rural,0.8985742060920285,915.7509157509157,0
48131,1.3,0.1,4.7,9824,50081,29.0,0.2,5.477627430114262,9.0,rural,0.5437645236250969,1170.6026058631921,1
48133,1.8,0.0,2.5,17846,51741,14.6,0.2,19.26157070597037,8.0,rural,0.8895726495726496,431.4692368037655,0
48135,2.0,0.4,3.4,163206,71031,15.3,1.4,181.7673837902892,3.0,urban,0.7650447089801964,281.85238287808045,0
48137,1.4,0.1,0.1,1392,38500,25.3,0.1,0.6572635267483116,9.0,rural,0.8750709823963657,1436.7816091954023,1
48139,3.3,0.5,2.9,203927,95898,8.1,0.9,217.93958332472528,1.0,urban,0.6579985862420198,250.57986436322804,0
48141,2.0,1.0,4.0,866275,58859,18.9,2.2,854.7439293698942,2.0,urban,0.41438792512006273,148.91345127124757,1
48143,2.3,0.5,2.5,43244,65351,15.9,1.3,39.92324048689082,5.0,suburban,0.8438783642940347,205.808898344279,0
48145,1.9,0.2,1.4,17063,55372,14.6,1.1,22.290150372892054,2.0,urban,0.7223949453414903,353.4704370179948,0
48147,3.0,0.1,1.3,36525,68377,14.2,0.4,41.000876603674044,6.0,suburban,0.839406779661017,468.1724845995893,0
48149,1.2,0.0,0.4,24783,76541,8.8,0.2,26.08919009743859,6.0,suburban,0.8105253776569672,351.0470887301779,1
48151,3.7,0.0,1.6,3661,64700,10.3,0.5,4.072525053447329,8.0,rural,0.8243372724369211,464.3540016388965,0
48153,1.4,0.0,4.1,5294,55461,18.1,0.6,5.335927037271276,8.0,rural,0.8338343809784095,1303.3622969399319,0
48155,4.4,0.6,1.2,1079,42212,20.9,0.0,1.5318076649243542,9.0,rural,0.8417849898580122,0.0,0
48157,1.5,0.6,8.1,859721,113409,7.2,1.7,997.6188828533124,1.0,urban,0.4911876351601428,699.645582694851,1
48159,1.3,0.0,1.3,10522,66800,11.1,1.3,36.99832647991303,9.0,rural,0.8484390191206654,399.1636570994108,0
48161,1.4,0.1,2.0,19813,58460,14.3,0.7,22.572984899657406,9.0,rural,0.8340348011809787,413.8696815222329,0
48163,1.1,0.2,15.9,18019,60098,19.6,1.1,15.896769162124713,6.0,suburban,0.6170239918325676,366.28003773794325,1
48165,0.6,0.2,3.2,21904,76605,7.4,1.8,14.579698181317516,6.0,suburban,0.920490093847758,397.1877282688094,0
48167,1.8,1.0,5.2,354721,85348,11.2,1.7,934.9253434918169,1.0,urban,0.6402520487569726,150.25893589609862,1
48169,1.3,0.5,6.0,5435,50545,14.0,1.0,6.0833915030285475,2.0,urban,0.8680479825517994,717.5712971481141,0
48171,2.0,0.1,2.7,27202,67799,9.5,0.8,25.705860124690865,7.0,rural,0.8020191069855681,99.25740754356298,0
48173,4.9,0.0,0.0,1070,106806,8.5,2.5,1.1886014637469695,8.0,rural,0.9428076256499134,3831.7757009345796,0
48175,1.7,0.0,1.5,7096,59556,9.2,0.4,8.328530017020737,3.0,urban,0.802291847983754,605.9751972942503,1
48177,1.4,0.5,3.1,19764,59355,14.5,0.6,18.528408526212267,6.0,suburban,0.7816464821222606,576.8063145112326,1
48179,3.1,0.2,3.1,21131,56082,16.3,0.4,22.820294895939085,6.0,suburban,0.8905225062203121,104.1124414367517,0
48181,3.1,0.2,2.3,139988,70455,11.1,0.9,150.06771580869207,3.0,urban,0.7744386233849367,228.5910220876075,0
48183,1.9,0.2,1.7,124860,64809,17.0,0.9,456.72612526898456,2.0,urban,0.7189754176157934,229.05654332852797,0
48185,3.7,0.1,2.1,30385,67080,13.3,1.1,38.585784832572465,6.0,suburban,0.8066641953951975,677.9661016949152,1
48187,2.1,1.4,4.6,178368,93776,8.8,2.6,250.7803712202439,1.0,urban,0.648816329712593,353.4704370179948,0
48189,3.0,0.7,9.2,32247,52788,19.0,0.8,32.09678495644493,4.0,suburban,0.7987359028380221,353.4704370179948,0
48191,5.9,0.0,9.2,2827,46728,16.4,0.5,3.199802825626264,9.0,rural,0.8704474505723205,70.74637424831977,0
48193,1.2,0.0,0.4,8320,55339,18.4,0.3,9.953170464032626,8.0,rural,0.8616829644879053,264.42307692307696,0
48195,2.3,1.3,1.5,5182,68299,7.8,3.8,5.633772942826029,9.0,rural,0.9304549405969285,250.86839058278656,0
48197,6.3,2.0,2.8,3529,61179,12.8,0.7,5.07686398460046,9.0,rural,0.8651102464332037,113.34655709832815,0
48199,1.7,0.2,1.7,57126,72532,12.3,0.7,64.14499358118086,2.0,urban,0.8819761579977463,385.1136085145118,1
48201,2.1,0.8,12.0,4758579,73104,15.9,1.7,2787.6583333326053,1.0,urban,0.471148830566126,855.6335830507385,1
48203,1.8,0.1,1.0,69584,66040,17.4,0.8,77.31052354934346,2.0,urban,0.7592153717140044,628.0179351575075,0
